id,region,country,subnat_region
2387,Kisii,Kenya,Kisii
2391,Pakpatan,Pakistan,Punjab
2392,"Clarin, Misamis Occidental",Philippines,Misamis Occidental
2395,Gyumri,Armenia,Gyumri
2397,Huaycan,Peru,Ate Vitarte LIMA
2405,"Calamba, Misamis Occidental",Philippines,Misamis Occidental
2408,,Jordan,
2411,Aghaiani,Georgia,Aghaiani
2412,"Rizalina, Aurora, Isabela",Philippines,Isabela
2425,"Mayisyan village, Armavir region",Armenia,"Mayisyan village, Armavir region"
2426,Clarin Misamis Occidental,Philippines,Misamis Occidental
2429,"Mile-Two, Bamenda, NW. Province",Cameroon,"Mile-Two, Bamenda, NW. Province"
2433,Akhalisopeli,Georgia,Akhalisopeli
2434,Koutiala,Mali,Koutiala
2436,Los Angeles,United States,California
2440,Patria - Paucartambo - Cusco,Peru,Patria - Paucartambo - Cusco
2443,"San Luis Cauayan City, Isabela",Philippines,Isabela
2453,"Kalabaza, Aurora, Isabela",Philippines,Isabela
2457,Sadiqabad,Pakistan,Punjab
2458,Alamandom NWP,Cameroon,Alamandom NWP
2460,Shnogh village,Armenia,Shnogh village
2462,Aral village,Kyrgyzstan,Aral village
2463,"Guihulngan, Negros Oriental",Philippines,Negros Oriental
2467,"Shatin village, Vayots Dzor region",Armenia,"Shatin village, Vayots Dzor region"
2478,Shahrituz,Tajikistan,Shahrituz
2485,Huancayo,Peru,Huancayo
2490,Tala;Kangundo,Kenya,Tala;Kangundo
2493,Sanankoro,Mali,Sanankoro
2495,Kandal,Cambodia,Kandal
2496,Caldas,Colombia,Caldas
2502,Yarankabougou,Mali,Yarankabougou
2504,Thika Road,Kenya,Nairobi
2507,Bamenda NW Region,Cameroon,Bamenda NW Region
2509,Kitale,Kenya,Kitale
2511,"Savay village, Osh region",Kyrgyzstan,"Savay village, Osh region"
2518,Nazca,Peru,Nazca
2530,Vanadzor town,Armenia,Vanadzor town
2531,Ninotsminda,Georgia,Ninotsminda
2536,"Dauis, Bohol",Philippines,Bohol
2549,Napichkhovo,Georgia,Napichkhovo
2555,"Kapan, Syunik region",Armenia,"Kapan, Syunik region"
2570,Yerevan,Armenia,Yerevan
2575,"Caliguian, Burgos, Isabela",Philippines,Isabela
2580,Marneuli,Georgia,Marneuli
2581,Korokabougou,Mali,Korokabougou
2589,"Pana-on,Misamis Occidental",Philippines,Misamis Occidental
2594,Popayan,Colombia,Cauca Department
2597,Kitengela;Nairobi,Kenya,Nairobi
2599,"La Lopez, Choloma",Honduras,Choloma
2601,"Tangub City, Misamis Occidental",Philippines,Misamis Occidental
2607,"Ozamis City, Misamis  Occidental",Philippines,Misamis Occidental
2611,Sironko,Uganda,Sironko
2619,Bolnisi,Georgia,Bolnisi
2622,Planeta Rica,Colombia,Cordoba
2643,Shulaveri,Georgia,Shulaveri
2651,ndioungue,Senegal,ndioungue
2656,Kulari,Georgia,Kulari
2659,Bolkvi,Georgia,Bolkvi
2667,Itagui,Colombia,Antioquia
2669,"Sinacaban ,Misamis Occidental",Philippines,Misamis Occidental
2674,Mile 90Nsongwa NWP,Cameroon,Mile 90Nsongwa NWP
2683,Patria - Kosñipata - Paucartambo - Cusco,Peru,Patria - Kosñipata - Paucartambo - Cusco
2684,Chibati,Georgia,Chibati
2696,Maghlaki,Georgia,Maghlaki
2700,Rustavi,Georgia,Rustavi
2701,Mberes,Senegal,Mberes
2703,Fiyele,Mali,20026 Novate Milanese MI
2708,"Malasin, Burgos, Isabela",Philippines,Isabela
2711,Dandalo,Georgia,GA
2734,Vose,Tajikistan,Vose
2738,sawagne,Senegal,sawagne
2740,"Ozamis  City, Misamis Occidental",Philippines,Misamis Occidental
2741,Clarin Misamis  Occidental,Philippines,Misamis Occidental
2770,Alvani,Georgia,Alvani
2771,Kurumaimak village,Kyrgyzstan,Kurumaimak village
